CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-12-12 01:59:48.1758177,E:\Windows\prefetch\Q314862.EXE-037C4C1A.pf,D:\Data\Target\E\Windows\prefetch\Q314862.EXE-037C4C1A.pf,12192,F3FF4460447C021C3CB3C4BC36D14DB556BE5EE4,False,2002-03-31 16:50:50.6542592,2002-03-31 16:50:50.6642736,2002-03-31 16:50:50.6642736,00:00:00
2025-12-12 01:59:48.1914965,E:\Windows\prefetch\Q315000.EXE-0DF90442.pf,D:\Data\Target\E\Windows\prefetch\Q315000.EXE-0DF90442.pf,12498,557D4B25C4CA3DA38952CBF25093C37D59E3776D,False,2002-03-31 16:51:08.9205248,2002-03-31 16:51:08.9205248,2002-03-31 16:51:08.9205248,00:00:00.0156788
2025-12-12 01:59:48.1914965,E:\Windows\prefetch\Q315403.EXE-267A4061.pf,D:\Data\Target\E\Windows\prefetch\Q315403.EXE-267A4061.pf,10952,7960F4215B337AC664EEEFE478FD376045D85AEA,False,2002-03-31 16:50:32.3679648,2002-03-31 16:50:32.3679648,2002-03-31 16:50:32.3679648,00:00:00
2025-12-12 01:59:48.1914965,E:\Windows\prefetch\Q317277.EXE-1D1EC27F.pf,D:\Data\Target\E\Windows\prefetch\Q317277.EXE-1D1EC27F.pf,18702,5120308CF414A5BB8EDA597C2CECD78824A21016,False,2002-03-31 16:48:01.0203376,2002-03-31 16:48:01.0303520,2002-03-31 16:48:01.0303520,00:00:00
2025-12-12 01:59:48.2075031,E:\Windows\prefetch\Q318202.EXE-37B6CE5C.pf,D:\Data\Target\E\Windows\prefetch\Q318202.EXE-37B6CE5C.pf,8648,B99B8071EDEE1D00E5D14E879A3EE8E6B85F3F1D,False,2002-03-31 16:47:49.1232304,2002-03-31 16:47:49.1232304,2002-03-31 16:47:49.1232304,00:00:00.0160066
2025-12-12 01:59:48.2111521,E:\Windows\prefetch\Q318203.EXE-1AF62BC4.pf,D:\Data\Target\E\Windows\prefetch\Q318203.EXE-1AF62BC4.pf,7652,8FE785BE8F577175179D5EA4F2E58E0177098438,False,2002-03-31 16:47:46.6496736,2002-03-31 16:47:46.6496736,2002-03-31 16:47:46.6496736,00:00:00
2025-12-12 01:59:48.2111521,E:\Windows\prefetch\Q319182.EXE-2F21C621.pf,D:\Data\Target\E\Windows\prefetch\Q319182.EXE-2F21C621.pf,15410,51BCD62E9ACC0E77F91076CC823BD2F14D7BB2D1,False,2002-03-31 16:49:44.1586432,2002-03-31 16:49:44.1586432,2002-03-31 16:49:44.1586432,00:00:00
2025-12-12 01:59:48.2231534,E:\Windows\prefetch\QUITRE~1.EXE-2BC020E6.pf,D:\Data\Target\E\Windows\prefetch\QUITRE~1.EXE-2BC020E6.pf,2860,3C41AC80EE7FFADE430098EC623FFA4C57AF5CD9,False,2002-03-01 15:26:31.0511408,2002-03-01 15:26:31.0511408,2002-03-01 15:26:31.0511408,00:00:00.0120013
2025-12-12 01:59:48.2231534,E:\Windows\prefetch\RASAUTOU.EXE-18B88A68.pf,D:\Data\Target\E\Windows\prefetch\RASAUTOU.EXE-18B88A68.pf,16900,F7A279B8D865EAFAAB6AE6529E6E298A2F35B769,False,2002-03-01 15:39:59.9646800,2002-06-03 20:12:07.5859024,2002-06-03 20:12:07.5859024,00:00:00
2025-12-12 01:59:48.2231534,E:\Windows\prefetch\RBM.EXE-08BF3CD1.pf,D:\Data\Target\E\Windows\prefetch\RBM.EXE-08BF3CD1.pf,5638,6886B6C9B78685D647C6CCA27453424B8B42B834,False,2002-03-01 15:11:59.9605280,2002-03-01 15:11:59.9605280,2002-03-01 15:11:59.9605280,00:00:00
2025-12-12 01:59:48.2389164,E:\Windows\prefetch\REAL.EXE-1EFCF7BE.pf,D:\Data\Target\E\Windows\prefetch\REAL.EXE-1EFCF7BE.pf,22466,42137F536EB3DF7E932760E7F84672514F0562C0,False,2002-03-01 15:09:39.4785248,2002-03-01 15:09:39.5085680,2002-03-01 15:09:39.5085680,00:00:00
2025-12-12 01:59:48.2389164,E:\Windows\prefetch\REALPLAY.EXE-1BF219BD.pf,D:\Data\Target\E\Windows\prefetch\REALPLAY.EXE-1BF219BD.pf,18026,67BC999A596D3B367CA990F3BBA5E862DBA50AE9,False,2002-03-31 14:05:18.8620992,2002-03-31 14:05:18.8620992,2002-03-31 14:05:18.8620992,00:00:00
2025-12-12 01:59:48.2546979,E:\Windows\prefetch\REGSVR32.EXE-25EEFE2F.pf,D:\Data\Target\E\Windows\prefetch\REGSVR32.EXE-25EEFE2F.pf,51870,C6B47A9A816657153BEF5DE0B0D816F92EC0D5BD,False,2002-02-28 22:23:04.9274432,2002-03-01 15:11:54.6228528,2002-03-01 15:11:54.6228528,00:00:00.0157815
2025-12-12 01:59:48.2602019,E:\Windows\prefetch\RUNDLL32.EXE-150CC720.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-150CC720.pf,22158,48E93E3923C8FD21F4E473A44E3C0393079D8DE3,False,2002-03-01 14:56:40.9370992,2002-05-14 16:49:59.1232048,2002-05-14 16:49:59.1232048,00:00:00.0055040
2025-12-12 01:59:48.2602019,E:\Windows\prefetch\RUNDLL32.EXE-174D3677.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-174D3677.pf,24258,32EAED039673C65F24279A2458E585603058E819,False,2002-04-01 12:42:18.4689424,2002-06-04 23:55:06.2395360,2002-06-04 23:55:06.2395360,00:00:00
2025-12-12 01:59:48.2705313,E:\Windows\prefetch\RUNDLL32.EXE-1872DDF6.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-1872DDF6.pf,7308,6EDE3EB917121FA51E611DA44ABDEF6C55B895A1,False,2002-02-28 22:24:19.0440176,2002-02-28 22:24:19.0440176,2002-02-28 22:24:19.0440176,00:00:00
2025-12-12 01:59:48.2753122,E:\Windows\prefetch\RUNDLL32.EXE-1903AB37.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-1903AB37.pf,23592,4F3BDF69F0E20BEBFEF3B491E0FA29177A87222F,False,2002-03-31 16:51:10.6029440,2002-03-31 16:51:10.6029440,2002-03-31 16:51:10.6029440,00:00:00
2025-12-12 01:59:48.2753122,E:\Windows\prefetch\RUNDLL32.EXE-1947DA18.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-1947DA18.pf,18718,406DBD6A923DCF86C20A3CA5BB381B6C258D6066,False,2002-02-28 22:24:03.1211216,2002-02-28 22:24:03.1211216,2002-02-28 22:24:03.1211216,00:00:00
2025-12-12 01:59:48.2891698,E:\Windows\prefetch\RUNDLL32.EXE-1C549DC0.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-1C549DC0.pf,9724,A816E3D4F2DAF68D6A0009A69A71FD58C50A6C51,False,2002-03-01 14:18:31.1445392,2002-03-01 14:18:31.1445392,2002-03-01 14:18:31.1445392,00:00:00.0029073
2025-12-12 01:59:48.2891698,E:\Windows\prefetch\RUNDLL32.EXE-1EB68ECB.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-1EB68ECB.pf,10722,FA92BC84F76F9C2112C2D8ABA9370E2FA977E0AF,False,2002-03-31 16:49:18.5918800,2002-03-31 16:49:18.5918800,2002-03-31 16:49:18.5918800,00:00:00
2025-12-12 01:59:48.2891698,E:\Windows\prefetch\RUNDLL32.EXE-2329F031.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-2329F031.pf,13738,72CC406134467A261C7FD0990F950CDDE060E8F4,False,2002-02-28 22:22:46.6812064,2002-02-28 22:22:46.6812064,2002-02-28 22:22:46.6812064,00:00:00
2025-12-12 01:59:48.3052353,E:\Windows\prefetch\RUNDLL32.EXE-268BFF96.pf,D:\Data\Target\E\Windows\prefetch\RUNDLL32.EXE-268BFF96.pf,7240,FDB629D6D8025CC5F9FB04ED0C3C7C5F8945417F,False,2002-03-31 15:24:34.5123040,2002-06-04 23:30:57.9269648,2002-06-04 23:30:57.9269648,00:00:00.0031714
